;Activity;Hour
278;workout_Retiree;9.0
279;breakfast_Retiree;9.7
280;lunch_Retiree;12.983333333333333
281;workout_Retiree;16.0
282;dinner_Retiree;18.4
283;sleep_Retiree;23.133333333333333
284;breakfast_Retiree;9.283333333333333
285;workout_Retiree;10.0
286;lunch_Retiree;12.383333333333333
287;dinner_Retiree;18.35
288;sleep_Retiree;22.783333333333335
289;lunch_Retiree;12.816666666666666
290;workout_Retiree;15.0
291;dinner_Retiree;18.933333333333334
292;sleep_Retiree;23.1
293;breakfast_Retiree;7.35
294;workout_Retiree;8.0
295;workout_Retiree;12.0
296;dinner_Retiree;19.216666666666665
297;sleep_Retiree;22.583333333333332
298;workout_Retiree;9.0
299;lunch_Retiree;13.05
300;workout_Retiree;15.0
301;dinner_Retiree;19.183333333333334
302;workout_Retiree;20.0
303;sleep_Retiree;22.283333333333335
304;breakfast_Retiree;9.716666666666667
305;workout_Retiree;11.0
306;lunch_Retiree;13.35
307;dinner_Retiree;18.733333333333334
308;sleep_Retiree;22.283333333333335
309;workout_Retiree;10.0
310;lunch_Retiree;13.25
311;workout_Retiree;18.0
312;dinner_Retiree;18.916666666666668
313;workout_Retiree;21.0
314;sleep_Retiree;22.766666666666666
315;workout_Retiree;9.0
316;lunch_Retiree;13.866666666666667
317;workout_Retiree;16.0
318;dinner_Retiree;18.833333333333332
319;workout_Retiree;20.0
320;sleep_Retiree;23.35
321;breakfast_Retiree;9.95
322;workout_Retiree;11.0
323;lunch_Retiree;13.566666666666666
324;dinner_Retiree;19.416666666666668
325;sleep_Retiree;22.666666666666668
326;breakfast_Retiree;8.95
327;lunch_Retiree;12.75
328;workout_Retiree;15.0
329;dinner_Retiree;18.116666666666667
330;sleep_Retiree;22.016666666666666
331;workout_Retiree;8.0
332;lunch_Retiree;12.733333333333333
333;workout_Retiree;17.0
334;dinner_Retiree;18.166666666666668
335;workout_Retiree;20.0
336;sleep_Retiree;22.6
337;workout_Retiree;9.0
338;lunch_Retiree;12.216666666666667
339;dinner_Retiree;18.366666666666667
340;workout_Retiree;21.0
341;sleep_Retiree;23.15
342;breakfast_Retiree;9.416666666666666
343;workout_Retiree;11.0
344;lunch_Retiree;12.566666666666666
345;dinner_Retiree;18.416666666666668
346;sleep_Retiree;22.55
347;workout_Retiree;8.0
348;breakfast_Retiree;8.9
349;lunch_Retiree;12.566666666666666
350;dinner_Retiree;19.6
351;sleep_Retiree;23.116666666666667
352;workout_Retiree;8.0
353;breakfast_Retiree;8.9
354;lunch_Retiree;12.483333333333333
355;workout_Retiree;19.0
356;dinner_Retiree;19.866666666666667
357;sleep_Retiree;22.5
358;breakfast_Retiree;9.75
359;workout_Retiree;11.0
360;lunch_Retiree;13.7
361;dinner_Retiree;19.8
362;sleep_Retiree;22.883333333333333
363;breakfast_Retiree;9.4
364;lunch_Retiree;12.35
365;workout_Retiree;14.0
366;dinner_Retiree;19.766666666666666
367;sleep_Retiree;22.6
368;workout_Retiree;8.0
369;breakfast_Retiree;8.516666666666667
370;workout_Retiree;12.0
371;workout_Retiree;17.0
372;dinner_Retiree;18.483333333333334
373;sleep_Retiree;23.083333333333332
374;breakfast_Retiree;8.933333333333334
375;workout_Retiree;10.0
376;lunch_Retiree;13.066666666666666
377;workout_Retiree;19.0
378;dinner_Retiree;19.783333333333335
379;sleep_Retiree;22.316666666666666
380;breakfast_Retiree;8.6
381;workout_Retiree;10.0
382;lunch_Retiree;12.583333333333334
383;dinner_Retiree;18.666666666666668
384;sleep_Retiree;22.0
385;breakfast_Retiree;7.75
386;workout_Retiree;9.0
387;lunch_Retiree;13.3
388;dinner_Retiree;19.266666666666666
389;sleep_Retiree;22.716666666666665
390;workout_Retiree;9.0
391;breakfast_Retiree;9.85
392;lunch_Retiree;13.266666666666667
393;dinner_Retiree;18.216666666666665
394;workout_Retiree;20.0
395;sleep_Retiree;23.166666666666668
396;breakfast_Retiree;7.883333333333333
397;workout_Retiree;10.0
398;lunch_Retiree;12.6
399;dinner_Retiree;19.95
400;sleep_Retiree;22.55
401;breakfast_Retiree;9.683333333333334
402;lunch_Retiree;13.483333333333333
403;workout_Retiree;15.0
404;dinner_Retiree;18.15
405;sleep_Retiree;22.683333333333334
406;workout_Retiree;8.0
407;lunch_Retiree;12.966666666666667
408;dinner_Retiree;18.8
409;sleep_Retiree;23.416666666666668
410;workout_Retiree;11.0
411;lunch_Retiree;13.783333333333333
412;workout_Retiree;16.0
413;dinner_Retiree;19.25
414;sleep_Retiree;23.183333333333334
415;workout_Retiree;10.0
416;lunch_Retiree;12.066666666666666
417;dinner_Retiree;18.633333333333333
418;sleep_Retiree;23.283333333333335
419;workout_Retiree;9.0
420;lunch_Retiree;12.566666666666666
421;workout_Retiree;15.0
422;workout_Retiree;18.0
423;dinner_Retiree;19.583333333333332
424;sleep_Retiree;22.866666666666667
425;breakfast_Retiree;7.783333333333333
426;workout_Retiree;9.0
427;lunch_Retiree;12.1
428;workout_Retiree;18.0
429;dinner_Retiree;19.2
430;workout_Retiree;22.0
431;sleep_Retiree;23.2
432;workout_Retiree;10.0
433;lunch_Retiree;12.016666666666667
434;workout_Retiree;16.0
435;dinner_Retiree;18.2
436;sleep_Retiree;23.133333333333333
437;breakfast_Retiree;9.6
438;lunch_Retiree;12.8
439;workout_Retiree;14.0
440;dinner_Retiree;19.1
441;sleep_Retiree;22.8
442;breakfast_Retiree;7.966666666666667
443;workout_Retiree;9.0
444;workout_Retiree;11.0
445;lunch_Retiree;13.583333333333334
446;workout_Retiree;17.0
447;dinner_Retiree;18.166666666666668
448;sleep_Retiree;22.333333333333332
449;workout_Retiree;8.0
450;breakfast_Retiree;9.083333333333334
451;lunch_Retiree;13.3
452;dinner_Retiree;18.15
453;breakfast_Workaholic;7.216666666666667
454;lunch_Workaholic;12.65
455;work_Workaholic;8.183333333333334
456;dinner_Workaholic;18.883333333333333
457;sleep_Workaholic;23.0
458;breakfast_Workaholic;7.483333333333333
459;lunch_Workaholic;12.366666666666667
460;work_Workaholic;8.65
461;sleep_Workaholic;23.0
462;breakfast_Workaholic;7.05
463;lunch_Workaholic;12.066666666666666
464;work_Workaholic;8.15
465;workout_Workaholic;20.0
466;sleep_Workaholic;23.0
467;breakfast_Workaholic;7.45
468;lunch_Workaholic;12.416666666666666
469;work_Workaholic;8.05
470;dinner_Workaholic;19.016666666666666
471;sleep_Workaholic;23.0
472;breakfast_Workaholic;7.266666666666667
473;lunch_Workaholic;12.416666666666666
474;dinner_Workaholic;18.666666666666668
475;sleep_Workaholic;23.0
476;breakfast_Workaholic;7.216666666666667
477;lunch_Workaholic;12.733333333333333
478;work_Workaholic;8.233333333333333
479;dinner_Workaholic;18.766666666666666
480;sleep_Workaholic;23.0
481;breakfast_Workaholic;7.233333333333333
482;lunch_Workaholic;12.4
483;work_Workaholic;8.133333333333333
484;dinner_Workaholic;19.1
485;sleep_Workaholic;23.0
486;breakfast_Workaholic;7.2
487;workout_Workaholic;8.0
488;lunch_Workaholic;12.3
489;workout_Workaholic;14.0
490;dinner_Workaholic;18.766666666666666
491;sleep_Workaholic;23.0
492;breakfast_Workaholic;7.05
493;lunch_Workaholic;12.666666666666666
494;work_Workaholic;8.183333333333334
495;dinner_Workaholic;19.916666666666668
496;sleep_Workaholic;23.0
497;workout_Workaholic;6.0
498;breakfast_Workaholic;7.45
499;lunch_Workaholic;12.783333333333333
500;work_Workaholic;8.066666666666666
501;dinner_Workaholic;19.366666666666667
502;sleep_Workaholic;23.0
503;workout_Workaholic;6.0
504;breakfast_Workaholic;7.333333333333333
505;lunch_Workaholic;12.366666666666667
506;work_Workaholic;8.483333333333333
507;dinner_Workaholic;18.65
508;sleep_Workaholic;23.0
509;workout_Workaholic;6.0
510;breakfast_Workaholic;7.466666666666667
511;lunch_Workaholic;12.6
512;dinner_Workaholic;18.366666666666667
513;sleep_Workaholic;23.0
514;workout_Workaholic;6.0
515;breakfast_Workaholic;7.2
516;lunch_Workaholic;12.616666666666667
517;work_Workaholic;8.716666666666667
518;sleep_Workaholic;23.0
519;workout_Workaholic;6.0
520;breakfast_Workaholic;7.116666666666666
521;lunch_Workaholic;12.683333333333334
522;work_Workaholic;8.683333333333334
523;dinner_Workaholic;19.483333333333334
524;sleep_Workaholic;23.0
525;workout_Workaholic;6.0
526;breakfast_Workaholic;7.416666666666667
527;lunch_Workaholic;12.583333333333334
528;work_Workaholic;8.9
529;dinner_Workaholic;19.85
530;sleep_Workaholic;23.0
531;workout_Workaholic;6.0
532;breakfast_Workaholic;7.45
533;lunch_Workaholic;12.133333333333333
534;work_Workaholic;8.633333333333333
535;sleep_Workaholic;23.0
536;workout_Workaholic;6.0
537;breakfast_Workaholic;7.066666666666666
538;lunch_Workaholic;12.55
539;work_Workaholic;8.083333333333334
540;sleep_Workaholic;23.0
541;workout_Workaholic;6.0
542;breakfast_Workaholic;7.083333333333333
543;lunch_Workaholic;12.483333333333333
544;work_Workaholic;8.516666666666667
545;sleep_Workaholic;23.0
546;workout_Workaholic;6.0
547;breakfast_Workaholic;7.35
548;lunch_Workaholic;12.4
549;dinner_Workaholic;18.066666666666666
550;sleep_Workaholic;23.0
551;workout_Workaholic;6.0
552;breakfast_Workaholic;7.416666666666667
553;lunch_Workaholic;12.75
554;work_Workaholic;8.466666666666667
555;sleep_Workaholic;23.0
556;workout_Workaholic;6.0
557;breakfast_Workaholic;7.483333333333333
558;lunch_Workaholic;12.7
559;work_Workaholic;8.3
560;dinner_Workaholic;19.616666666666667
561;sleep_Workaholic;23.0
562;workout_Workaholic;6.0
563;breakfast_Workaholic;7.383333333333334
564;lunch_Workaholic;12.016666666666667
565;work_Workaholic;8.266666666666667
566;sleep_Workaholic;23.0
567;breakfast_Workaholic;7.1
568;lunch_Workaholic;12.35
569;work_Workaholic;8.816666666666666
570;sleep_Workaholic;23.0
571;workout_Workaholic;6.0
572;breakfast_Workaholic;7.316666666666666
573;lunch_Workaholic;12.4
574;work_Workaholic;8.8
575;sleep_Workaholic;23.0
576;workout_Workaholic;6.0
577;breakfast_Workaholic;7.016666666666667
578;lunch_Workaholic;12.333333333333334
579;work_Workaholic;8.583333333333334
580;sleep_Workaholic;23.0
581;workout_Workaholic;6.0
582;breakfast_Workaholic;7.333333333333333
583;lunch_Workaholic;12.816666666666666
584;dinner_Workaholic;19.433333333333334
585;sleep_Workaholic;23.0
586;workout_Workaholic;6.0
587;breakfast_Workaholic;7.183333333333334
588;lunch_Workaholic;12.55
589;work_Workaholic;8.583333333333334
590;sleep_Workaholic;23.0
591;workout_Workaholic;6.0
592;breakfast_Workaholic;7.283333333333333
593;lunch_Workaholic;12.833333333333334
594;work_Workaholic;8.133333333333333
595;sleep_Workaholic;23.0
596;workout_Workaholic;6.0
